ICAV Name,Reg Date,Reg Number,In Liquidation,ETF Related
MAM Global ICAV (previously MAM Corporate Loan ICAV),2017-01-31,C165851,,
Osmosis ICAV (previously Prescient ICAV),2017-02-01,C165916,,
White Oak 2 ICAV,2017-02-08,C165824,,
White Oak 3 ICAV,2017-02-09,C165825,,
Tenax UCITS ICAV,2017-02-13,C166285,,
Hiberno UCITS Platform ICAV,2017-02-16,C166368,,
TSCO Lending Fund ICAV,2017-02-21,,,
Blueglen Funds ICAV,2017-02-23,C166613,,
Candoris ICAV,2017-03-06,C166872,,
PassIM QIAIF Ireland ICAV,2017-03-06,C166716,,
Evelyn Partners Umbrella A ICAV,2017-03-16,C167053,,
Atlas Global Infrastructure UCITS ICAV,2017-03-20,C167077,,
GCI ICAV,2017-03-20,C167226,,
Pinnacle ICAV,2017-03-20,,,
Allsolutions Ireland ICAV,2017-03-27,C167422,,
Trinetra UCITS ICAV,2017-03-28,C167437,,
JWP ICAV,2017-03-28,C167067,,
Franklin Templeton ICAV,2017-04-11,C167746,,
CQS Global Funds ICAV,2017-04-11,C167691,,
GCM Grosvenor Alternative Funds Master ICAV,2017-04-18,,,
GCM Grosvenor Alternative Funds ICAV,2017-04-18,C166892,,
BaseCamp Real Estate ICAV,2017-04-26,C167463,,
Key Closed-Ended Alternative Platform ICAV,2017-04-26,C166615,,
Blackstone Global Master Fund ICAV,2017-04-26,C168127,,
Blackstone Global Feeder Fund ICAV,2017-04-26,C167460,,
Infrastructure Investment Fund ICAV,2017-05-05,C166626,,
Nomura Alternative Funds Ireland ICAV,2017-05-05,C168065,,
SSC Property ICAV,2017-05-05,C168362,,
Man Funds VIII ICAV,2017-05-10,C168778,,
TCP DLF VIII Feeder ICAV,2017-05-11,C168768,,
CdR Multi Alternatives Solutions Master ICAV (in liquidation),2017-05-17,C168974,Yes,
CdR Multi Alternatives Solutions Feeder ICAV (in liquidation),2017-05-17,C168975,Yes,
Tenax QIAIF ICAV,2017-05-19,C168824,,
Next Generation Investment Strategies ICAV,2017-05-29,,,
Powerscourt ICAV,2017-05-31,C169275,,
Herbert Park ICAV,2017-06-02,C169288,,
Seven Hills Investment Fund ICAV,2017-06-09,C169294,,
Seven Hills Investment Fund II ICAV,2017-06-13,C169361,,
Federated Alternative Funds ICAV,2017-06-14,C169285,,
Emerald Series ICAV,2017-06-29,C169260,,
Cerno Investment Funds ICAV,2017-06-29,C163426,,
New Horizon ICAV,2017-07-14,C172054,,
JPMorgan ETFs (Ireland) ICAV,2017-07-18,C171821,,
Eudora Investment Funds ICAV,2017-07-18,C167048,,
ILIM Property Fund ICAV,2017-07-18,,,
Praetorium Fund I ICAV,2017-07-21,,,
Winton UCITS Funds ICAV,2017-07-26,C67621,,
E TO INFINITY ICAV,2017-07-31,C172611,,
Leadenhall Value Insurance Linked Investments Fund II ICAV,2017-07-31,C172445,,
Leadenhall Remote Risk Insurance Linked Investments Fund ICAV,2017-07-31,C172458,,
Leadenhall Diversified Insurance Linked Investments Fund II ICAV,2017-07-31,C172446,,
EnTrust Global Opportunities ICAV,2017-08-14,C172257,,
Waystone QIAIF Corrib Platform ICAV,2017-08-17,C172605,,
Bain Capital Special Situations Europe ICAV,2017-08-18,C173109,,
Select Alternative Strategies II ICAV,2017-08-22,C173151,,
OHA Credit Solutions ICAV,2017-08-22,C173156,,
Danske Alternatives ICAV,2017-08-30,C173426,,
STANLIB Investments ICAV (in liquidation),2017-08-30,C173137,Yes,
Key Capital - Private Assets Fund ICAV,2017-08-31,C173060,,
DIE Ireland ICAV,2017-09-05,C173446,,
TaSe Hotel Ireland ICAV,2017-09-05,C173448,,
DIG Ireland ICAV,2017-09-05,C173447,,
Zurich Invest ICAV,2017-09-05,C173433,,
Key Alternative Platform ICAV,2017-09-08,C169291,,
Key Alternative Platform Master ICAV,2017-09-08,C169293,,
North Haven Secured Private Credit Fund ICAV,2017-09-11,,,
Global Investment Opportunities ICAV,2017-10-04,C173618,,
Ossiam IRL ICAV,2017-10-04,C173953,,
abrdn I ICAV,2017-10-05,C173973,,
Camac Growth Fund ICAV,2017-10-05,C172061,,
Primus Solutions ICAV,2017-10-12,,,
Lahinch Target Investments ICAV (in liquidation),2017-10-17,C174297,Yes,
ICE EM Credit Funds ICAV (in liquidation),2017-10-23,C174144,Yes,
Urbeo Residential Fund ICAV,2017-10-23,C174395,,
WIIS Ireland ICAV,2017-10-25,C174386,,
Janus Henderson ICAV (prev Tabula ICAV),2017-10-25,C174472,,
Twelve Capital UCITS ICAV,2017-10-27,C174556,,
Lutetia Capital ICAV (in liquidation),2017-10-31,C174275,Yes,
KW Real Estate ICAV,2017-11-03,,,
Kensington UCITS ICAV,2017-11-06,C174394,,
Brilliance Asset Management ICAV,2017-11-06,C174278,,
ILIM Solutions ICAV,2017-11-08,C174846,,
Fidelity UCITS II ICAV,2017-11-14,C174793,,
Macquarie Private Debt Funds ICAV,2017-11-17,C175080,,
Market Access QIAIF ICAV,2017-11-17,,,
Adrian Lee & Partners Global Alpha Funds UCITS ICAV,2017-11-17,C174362,,
Blackstone Partners Feeder Fund ICAV,2017-11-17,C174407,,
HSBC Global Funds ICAV,2017-11-28,C173463,,
Evenlode ICAV,2017-12-04,C175747,,
